"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"1817",0.2,52.708345,-2.980518
2023-09-01,"1819",0,52.178577,-2.411624
2023-09-01,"1822SO",6.8,50.811276,0.219288
2023-09-01,"1930",0,52.080849,-2.563945
2023-09-01,"2321SO",4.8,50.83729,-0.377415
2023-09-01,"237740TP",0.1,51.600133,0.258985
2023-09-01,"238605TP",5.6,51.722932,0.136235
2023-09-01,"238777TP",2.8,51.736595,0.223782
2023-09-01,"238944TP",2.1,51.677024,0.235326
2023-09-01,"239258TP",7.6,51.664377,0.040933
2023-09-01,"239374TP",1,51.575345,0.041271
2023-09-01,"239579TP",1.4,51.527809,0.085279
2023-09-01,"240201TP",7.4,51.884151,-0.454782
2023-09-01,"240350TP",5.8,51.813497,-0.287465
2023-09-01,"240470TP",4.5,51.775264,-0.196143
2023-09-01,"240662TP",5,51.937159,-0.384591
2023-09-01,"240816TP",5.8,51.873475,-0.269208
2023-09-01,"241243TP",5.6,51.950719,-0.145455
2023-09-01,"241790TP",0,51.871184,-0.064476
2023-09-01,"241961TP",6.8,51.97304,-0.025147
2023-09-01,"242534TP",2.2,51.807828,-0.03963
2023-09-01,"242819TP",1.8,51.827809,0.054118
2023-09-01,"243045TP",2.6,51.965517,0.147752
2023-09-01,"243131TP",2.1,51.897439,0.182296
2023-09-01,"244027TP",1.8,51.769108,0.016666
2023-09-01,"244569TP",2.2,51.727077,-0.10539
2023-09-01,"245176TP",6.6,51.588712,-0.112596
2023-09-01,"246424TP",1,51.501145,-0.205547
2023-09-01,"246726TP",5.2,51.610639,-0.312441
2023-09-01,"247281TP",6,51.67255,-0.366544
2023-09-01,"247344TP",9.6,51.550032,-0.415648
2023-09-01,"247540TP",1.2,51.479469,-0.451216
2023-09-01,"248332TP",0.1,51.672207,-1.952948
2023-09-01,"248965TP",0.1,51.792696,-2.00792
2023-09-01,"249744TP",1,51.568666,-1.811661
2023-09-01,"251530TP",0,51.689762,-1.679516
2023-09-01,"251556TP",0.1,51.826782,-1.862825
2023-09-01,"253340TP",0,51.878717,-1.737736
2023-09-01,"253861TP",0.4,51.794582,-1.562775
2023-09-01,"254336TP",1.6,51.774757,-1.357157
2023-09-01,"254829TP",0.2,51.938474,-1.573015
2023-09-01,"256230TP",0,51.749085,-1.272057
2023-09-01,"256345TP",0.6,52.168732,-1.235988
2023-09-01,"257039TP",0.2,52.072227,-1.333928
2023-09-01,"259110TP",0.9,51.886777,-1.156503
2023-09-01,"260221TP",3.5,51.63431,-1.505077
2023-09-01,"261021TP",5.7,51.653876,-1.288038
2023-09-01,"261602TP",5.5,51.772802,-0.689041
2023-09-01,"261923TP",4.8,51.825767,-0.852925
2023-09-01,"263541TP",6.2,51.741752,-1.120101
2023-09-01,"264254TP",5.6,51.617635,-1.115281
2023-09-01,"264845TP",8.1,51.532367,-1.135676
2023-09-01,"265038TP",12.2,51.543602,-1.343114
2023-09-01,"265415TP",18.8,51.465368,-1.197403
2023-09-01,"266474TP_TEMPNo",6,51.427328,-1.724504
2023-09-01,"267661TP",16.3,51.388049,-1.53073
2023-09-01,"268103TP",7.3,51.53833,-1.56235
2023-09-01,"268851TP",8.2,51.462587,-1.327004
2023-09-01,"269627TP",2.8,51.345161,-1.239706
2023-09-01,"270397",9.3,51.44172,-0.937391
2023-09-01,"2705SO",4.7,50.759531,-0.787028
2023-09-01,"270669TP",0.4,51.292403,-1.035495
2023-09-01,"271491TP",17.6,51.330311,-0.763419
2023-09-01,"274178TP",6,51.667285,-0.923447
2023-09-01,"274918TP",3.5,51.440044,-0.766213
2023-09-01,"276316TP",2.6,51.718037,-0.217242
2023-09-01,"276651TP",5.4,51.755019,-0.285332
2023-09-01,"276956TP",6.4,51.828295,-0.446536
2023-09-01,"277407TP",5.4,51.686586,-0.341445
2023-09-01,"278744TP",7.8,51.690006,-0.530846
2023-09-01,"279941TP",9.6,51.396984,-0.540252
2023-09-01,"280826TP",4.5,51.226121,-0.774805
2023-09-01,"281186TP",0.4,51.119894,-0.851916
2023-09-01,"282290TP",0.3,51.143947,-0.512508
2023-09-01,"282781TP",0.4,51.256125,-0.566214
2023-09-01,"283596TP",16.4,51.341055,-0.599459
2023-09-01,"284703TP",2,51.178085,-0.133707
2023-09-01,"285630TP",2.4,51.288167,-0.337196
2023-09-01,"286392TP",3.6,51.400709,-0.284238
2023-09-01,"287141TP",0,51.362722,-0.209526
2023-09-01,"287283TP",3.2,51.449283,-0.224851
2023-09-01,"287451TP",0.3,51.308021,-0.16144
2023-09-01,"287722TP",0.4,51.344874,-0.103964
2023-09-01,"287864TP",3.4,51.380452,-0.135546
